t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
7.277453899,7.454953194,8.232341766000001,9.288797379,9.707386971,9.376373291,9.89155674,9.685480118,11.14038467,11.9094038,11.7223444,11.50239754,11.66909885
7.454953194,8.232341766000001,9.288797379,9.707386971,9.376373291,9.89155674,9.685480118,11.14038467,11.9094038,11.7223444,11.50239754,11.66909885,11.77328396
8.232341766000001,9.288797379,9.707386971,9.376373291,9.89155674,9.685480118,11.14038467,11.9094038,11.7223444,11.50239754,11.66909885,11.77328396,11.67736626
9.288797379,9.707386971,9.376373291,9.89155674,9.685480118,11.14038467,11.9094038,11.7223444,11.50239754,11.66909885,11.77328396,11.67736626,12.49646091
9.707386971,9.376373291,9.89155674,9.685480118,11.14038467,11.9094038,11.7223444,11.50239754,11.66909885,11.77328396,11.67736626,12.49646091,13.46257877
9.376373291,9.89155674,9.685480118,11.14038467,11.9094038,11.7223444,11.50239754,11.66909885,11.77328396,11.67736626,12.49646091,13.46257877,14.81859779
9.89155674,9.685480118,11.14038467,11.9094038,11.7223444,11.50239754,11.66909885,11.77328396,11.67736626,12.49646091,13.46257877,14.81859779,16.33069611
9.685480118,11.14038467,11.9094038,11.7223444,11.50239754,11.66909885,11.77328396,11.67736626,12.49646091,13.46257877,14.81859779,16.33069611,15.4450388
11.14038467,11.9094038,11.7223444,11.50239754,11.66909885,11.77328396,11.67736626,12.49646091,13.46257877,14.81859779,16.33069611,15.4450388,16.08586311
11.9094038,11.7223444,11.50239754,11.66909885,11.77328396,11.67736626,12.49646091,13.46257877,14.81859779,16.33069611,15.4450388,16.08586311,17.41186523
11.7223444,11.50239754,11.66909885,11.77328396,11.67736626,12.49646091,13.46257877,14.81859779,16.33069611,15.4450388,16.08586311,17.41186523,16.32497787
11.50239754,11.66909885,11.77328396,11.67736626,12.49646091,13.46257877,14.81859779,16.33069611,15.4450388,16.08586311,17.41186523,16.32497787,16.12520409
11.66909885,11.77328396,11.67736626,12.49646091,13.46257877,14.81859779,16.33069611,15.4450388,16.08586311,17.41186523,16.32497787,16.12520409,16.54091644
11.77328396,11.67736626,12.49646091,13.46257877,14.81859779,16.33069611,15.4450388,16.08586311,17.41186523,16.32497787,16.12520409,16.54091644,16.98944283
